Id,CurrencyId,AsAt,Rate,CreateDate
10489,643,07/01/2020,63.8387,22/12/2022 11:38
10490,682,07/01/2020,3.8671,22/12/2022 11:38
10491,752,07/01/2020,9.7114,22/12/2022 11:38
10492,702,07/01/2020,1.3913,22/12/2022 11:38
10493,764,07/01/2020,31.116,22/12/2022 11:38
10494,949,07/01/2020,6.1579,22/12/2022 11:38
10495,901,07/01/2020,30.9852,22/12/2022 11:38
10496,980,07/01/2020,24.3607,22/12/2022 11:38
10497,840,07/01/2020,1.0309,22/12/2022 11:38
10498,858,07/01/2020,38.4122,22/12/2022 11:38
10499,704,07/01/2020,23909.6574,22/12/2022 11:38
10500,710,07/01/2020,14.7044,22/12/2022 11:38
10501,784,08/01/2020,3.7822,22/12/2022 11:38
10502,32,08/01/2020,61.6065,22/12/2022 11:38
10503,36,08/01/2020,1.4976,22/12/2022 11:38
10504,975,08/01/2020,1.8068,22/12/2022 11:38
10505,986,08/01/2020,4.19,22/12/2022 11:38
10506,124,08/01/2020,1.3395,22/12/2022 11:38
10507,756,08/01/2020,1,22/12/2022 11:38
10508,152,08/01/2020,795.2864,22/12/2022 11:38
10509,156,08/01/2020,7.1565,22/12/2022 11:38
10510,170,08/01/2020,3315.2003,22/12/2022 11:38
10511,203,08/01/2020,23.3203,22/12/2022 11:38
10512,208,08/01/2020,6.8996,22/12/2022 11:38
10513,214,08/01/2020,54.4221,22/12/2022 11:38
10514,818,08/01/2020,16.5261,22/12/2022 11:38
10515,978,08/01/2020,0.9238,22/12/2022 11:38
10516,826,08/01/2020,0.7849,22/12/2022 11:38
10517,320,08/01/2020,7.9386,22/12/2022 11:38
10518,344,08/01/2020,8.0079,22/12/2022 11:38
10519,191,08/01/2020,6.8808,22/12/2022 11:38
10520,348,08/01/2020,305.53,22/12/2022 11:38
10521,360,08/01/2020,14106.5899,22/12/2022 11:38
10522,376,08/01/2020,3.5715,22/12/2022 11:38
10523,356,08/01/2020,73.949,22/12/2022 11:38
10524,352,08/01/2020,126.713,22/12/2022 11:38
10525,392,08/01/2020,111.7962,22/12/2022 11:38
10526,410,08/01/2020,1202.6554,22/12/2022 11:38
10527,398,08/01/2020,391.9449,22/12/2022 11:38
10528,484,08/01/2020,19.424,22/12/2022 11:38
10529,458,08/01/2020,4.2204,22/12/2022 11:38
10530,578,08/01/2020,9.1066,22/12/2022 11:39
10531,554,08/01/2020,1.55,22/12/2022 11:39
10532,590,08/01/2020,1.03,22/12/2022 11:39
10533,604,08/01/2020,3.4216,22/12/2022 11:39
